,h_1,W_1,L1_final,H1_final,L2_final,M1_final,cure_at_1500,M2_final,H2_final
63,0.45,0.11025,29458.95330853425,491.3003166772135,29458.95330853425,176046.83890714796,1.0,176046.83890714796,491.3003166772135
64,0.45,0.112,28550.67686509585,399.87448273663597,28550.67686509585,168560.6292001673,1.0,168560.6292001673,399.87448273663597
65,0.45,0.11375,27575.300290868327,319.9435840520296,27575.300290868327,160548.1888257781,1.0,160548.1888257781,319.9435840520296
67,0.45,0.1155,26532.04834331661,251.51124069554908,26532.04834331661,152015.87656103715,1.0,152015.87656103715,251.51124069554908
66,0.45,0.11725,25419.76225222826,194.11626636292672,25419.76225222826,142970.3100055995,1.0,142970.3100055995,194.11626636292672
68,0.45,0.11900000000000001,24236.405339824483,146.9377267980031,24236.405339824483,133415.55100879818,1.0,133415.55100879818,146.9377267980031
69,0.45,0.12074999999999997,22978.51208838598,108.91767235412901,22978.51208838598,123350.61567059287,1.0,123350.61567059287,108.91767235412901
70,0.45,0.12249999999999997,21640.587270184347,78.87970612573328,21640.587270184347,112767.87893151965,1.0,112767.87893151965,78.87970612573328
71,0.45,0.12425,20214.46891180889,55.628485604774035,20214.46891180889,101653.3712845738,1.0,101653.3712845738,55.628485604774035
73,0.45,0.126,18688.71822023743,38.02308620945517,18688.71822023743,89991.02026361684,1.0,89991.02026361684,38.02308620945517
72,0.45,0.12774999999999995,17048.260367829185,25.023492128700372,17048.260367829185,77775.25867989613,1.0,77775.25867989613,25.023492128700372
74,0.45,0.12949999999999998,15274.937316623735,15.713305748832491,15274.937316623735,65041.2382725889,1.0,65041.2382725889,15.713305748832491
75,0.45,0.13124999999999998,13350.69297023491,9.303173711601207,13350.69297023491,51929.75397271087,1.0,51929.75397271087,9.303173711601207
76,0.45,0.13299999999999998,11267.218345030571,5.119343252220246,11267.218345030571,38808.021131229136,1.0,38808.021131229136,5.119343252220246
77,0.45,0.13474999999999998,9048.084068247796,2.5824291701975284,9048.084068247796,26428.654124548062,1.0,26428.654124548062,2.5824291701975284
78,0.45,0.13649999999999998,6784.090940861071,1.18710252863954,6784.090940861071,15941.624543839242,1.0,15941.624543839242,1.18710252863954
79,0.45,0.13824999999999998,5960.999374111104,0.9996995563388454,5960.999374111104,12774.968886159248,1.0,12774.968886159248,0.9996995563388454
80,0.45,0.14,5940.478367955884,0.9997693442550806,5940.478367955884,12727.78687323207,1.0,12727.78687323207,0.9997693442550806
81,0.45,0.14175,5922.8400554815225,0.9996674098613268,5922.8400554815225,12690.079766638128,1.0,12690.079766638128,0.9996674098613268
83,0.45,0.1435,5906.441251188695,0.9999673551372044,5906.441251188695,12656.620036254975,1.0,12656.620036254975,0.9999673551372044
82,0.45,0.14525,5889.384173122623,0.9999761114922472,5889.384173122623,12620.491988211497,1.0,12620.491988211497,0.9999761114922472
85,0.45,0.147,5871.8213141734705,0.9997496878813952,5871.8213141734705,12582.263264719673,1.0,12582.263264719673,0.9997496878813952
84,0.45,0.14875,5855.374130833852,0.9998890470543186,5855.374130833852,12547.844154027609,1.0,12547.844154027609,0.9998890470543186
86,0.45,0.1505,5838.6263875877075,0.9998704135065564,5838.6263875877075,12512.080781075889,1.0,12512.080781075889,0.9998704135065564
87,0.45,0.15225,5821.689051588133,0.9997350318601429,5821.689051588133,12475.38449257089,1.0,12475.38449257089,0.9997350318601429
97,0.45,0.15399999999999994,5805.295068981585,0.9997558926670882,5805.295068981585,12440.421945363698,1.0,12440.421945363698,0.9997558926670882
88,0.45,0.15574999999999994,5788.778725128632,0.999686060367948,5788.778725128632,12404.779510397193,1.0,12404.779510397193,0.999686060367948
